name,city,country_iso,iata,icao,lat,lon,type,country
Aleknagik / New Airport,Aleknagik,US,WKK,5A8,59.2826004028,-158.617996216,medium_airport,United States
Boulder City Municipal Airport,Boulder City,US,BLD,KBVU,35.947161,-114.858799,medium_airport,United States
Lehigh Valley International Airport,Allentown/Bethlehem,US,ABE,KABE,40.651773,-75.442797,medium_airport,United States
Abilene Regional Airport,Abilene,US,ABI,KABI,32.4113006592,-99.6819000244,medium_airport,United States
Albuquerque International Sunport,Albuquerque,US,ABQ,KABQ,35.039976,-106.608925,large_airport,United States
Aberdeen Regional Airport,Aberdeen,US,ABR,KABR,45.449100494384766,-98.42179870605467,medium_airport,United States
Southwest Georgia Regional Airport,Albany,US,ABY,KABY,31.532946,-84.196215,medium_airport,United States
Nantucket Memorial Airport,Nantucket,US,ACK,KACK,41.25310135,-70.06020355,medium_airport,United States
Waco Regional Airport,Waco,US,ACT,KACT,31.611299514770508,-97.23049926757812,medium_airport,United States
California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,ACV,KACV,40.978101,-124.109,medium_airport,United States
Atlantic City International Airport,Atlantic City,US,ACY,KACY,39.456201,-74.577511,medium_airport,United States
Alexandria International Airport,Alexandria,US,AEX,KAEX,31.325828,-92.546702,medium_airport,United States
Augusta Regional At Bush Field,Augusta,US,AGS,KAGS,33.3699,-81.9645,medium_airport,United States
Alliance Municipal Airport,Alliance,US,AIA,KAIA,42.052543,-102.803965,medium_airport,United States
Albany International Airport,Albany,US,ALB,KALB,42.748299,-73.801697,large_airport,United States
Waterloo Regional Airport,Waterloo,US,ALO,KALO,42.557098388671875,-92.40029907226562,medium_airport,United States
San Luis Valley Regional Airport/Bergman Field,Alamosa,US,ALS,KALS,37.434898,-105.866997,medium_airport,United States
Walla Walla Regional Airport,Walla Walla,US,ALW,KALW,46.09489822,-118.288002,medium_airport,United States
Rick Husband Amarillo International Airport,Amarillo,US,AMA,KAMA,35.217857,-101.706444,medium_airport,United States
Altoona Blair County Airport,Altoona,US,AOO,KAOO,40.296398,-78.32,medium_airport,United States
Alpena County Regional Airport,Alpena,US,APN,KAPN,45.0780983,-83.56030273,medium_airport,United States
Watertown International Airport,Watertown,US,ART,KART,43.991901,-76.021698,medium_airport,United States
Aspen-Pitkin County Airport (Sardy Field),Aspen,US,ASE,KASE,39.223202,-106.869003,medium_airport,United States
Hartsfield Jackson Atlanta International Airport,Atlanta,US,ATL,KATL,33.6367,-84.428101,large_airport,United States
Appleton International Airport,Appleton,US,ATW,KATW,44.258515,-88.519,medium_airport,United States
Watertown Regional Airport,Watertown,US,ATY,KATY,44.91400146,-97.15470123,medium_airport,United States
Augusta State Airport,Augusta,US,AUG,KAUG,44.320598602299995,-69.7973022461,medium_airport,United States
Austin Bergstrom International Airport,Austin,US,AUS,KAUS,30.197535,-97.662015,large_airport,United States
Asheville Regional Airport,Asheville,US,AVL,KAVL,35.435488,-82.541853,medium_airport,United States
Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,AVP,KAVP,41.337064,-75.724232,medium_airport,United States
Kalamazoo/Battle Creek International Airport,Kalamazoo,US,AZO,KAZO,42.232105,-85.549637,medium_airport,United States
Branson Airport,Branson,US,BKG,KBBG,36.532082,-93.200544,medium_airport,United States
Bradley International Airport,Hartford,US,BDL,KBDL,41.938555,-72.688016,large_airport,United States
Laurence G Hanscom Field,Bedford,US,BED,KBED,42.470001,-71.289001,medium_airport,United States
